animal_ID,larvae_length_pixel_raw,larvae_length_pixel,tray_width_pixel,larvae_length_mm,treatment_odor,starved,hatch_date,acclimate_start,experiment_start,sex,dead
180531-02-top,40.206,40,545,5.9,naive_100ul_left_yeastRNA_1gL,1day,180526,16:10,16:25,f,no
180531-03-bottom,39.601,40,534,5.9,naive_100ul_left_yeastRNA_1gL,1day,180526,16:45,17:00,m,no
180531-03-top,41.012,41,556,5.9,naive_100ul_left_yeastRNA_1gL,1day,180526,16:45,17:00,f,no
180601-01-bottom,37.636,38,538,5.6,naive_100ul_left_yeastRNA_1gL,1day,180531,10:32,10:47,m,no
180601-01-top,37.02,37,540,5.5,naive_100ul_left_yeastRNA_1gL,1day,180531,10:32,10:47,,yes
180601-02-bottom,40.311,40,533,6.1,naive_100ul_left_yeastRNA_1gL,1day,180531,11:05,11:20,m,no
180601-02-top,41.512,42,557,6,naive_100ul_left_yeastRNA_1gL,1day,180531,11:05,11:20,,yes
180601-03-bottom,37.577,38,541,5.6,naive_100ul_left_yeastRNA_1gL,1day,180531,11:45,12:00,m,no
180601-03-top,43.932,44,557,6.3,naive_100ul_left_yeastRNA_1gL,1day,180531,11:45,12:00,f,no
180601-04-bottom,40.771,41,536,6.1,naive_100ul_left_yeastRNA_1gL,1day,180531,12:35,12:50,m,no
180601-04-top,44.503,45,561,6.3,naive_100ul_left_yeastRNA_1gL,1day,180531,12:35,12:50,m,no
180601-05-bottom,41.067,41,532,6.2,naive_100ul_left_yeastRNA_1gL,1day,180531,13:10,13:25,m,no
180601-05-top,40.651,41,558,5.8,naive_100ul_left_yeastRNA_1gL,1day,180531,13:10,13:25,m,no
180601-06-bottom,33.136,33,529,5,naive_100ul_left_yeastRNA_1gL,1day,180531,13:45,14:00,m,no
180601-06-top,41.1,41,560,5.9,naive_100ul_left_yeastRNA_1gL,1day,180531,13:45,14:00,m,no
180601-07-bottom,44.5,45,546,6.5,naive_100ul_left_yeastRNA_1gL,1day,180531,14:20,14:35,f,no
180601-07-top,41.4,41,548,6,naive_100ul_left_yeastRNA_1gL,1day,180531,14:20,14:35,m,no
180608-01-bottom,46.481,46,544,6.8,naive_100ul_left_yeastRNA_1gL,no,180603,10:50,11:05,m,no
180608-01-top,41.575,42,546,6.1,naive_100ul_left_yeastRNA_1gL,no,180603,10:50,11:05,m,no
180608-02-bottom,39.906,40,535,6,naive_100ul_left_yeastRNA_1gL,no,180603,11:25,11:40,m,no
180608-02-top,43.073,43,559,6.2,naive_100ul_left_yeastRNA_1gL,no,180603,11:25,11:40,m,no
180608-03-bottom,43.96,44,546,6.4,naive_100ul_left_yeastRNA_1gL,no,180603,12:00,12:15,m,no
180608-03-top,43.732,44,549,6.4,naive_100ul_left_yeastRNA_1gL,no,180603,12:00,12:15,m,no
180608-04-bottom,44.051,44,549,6.4,naive_100ul_left_yeastRNA_1gL,no,180603,13:22,13:37,m,no
180608-04-top,41.164,41,550,6,naive_100ul_left_yeastRNA_1gL,no,180603,13:22,13:37,m,no
180608-05-bottom,40.746,41,536,6.1,naive_100ul_left_yeastRNA_1gL,no,180603,13:57,14:12,m,no
180608-05-top,40.577,41,559,5.8,naive_100ul_left_yeastRNA_1gL,no,180603,13:57,14:12,m,no
