animal_ID,larvae_length_pixel_raw,larvae_length_pixel,tray_width_pixel,larvae_length_mm,treatment_odor,starved,hatch_date,acclimate_start,experiment_start,sex,dead,start_hour,start_min,minutes_past_L
180524-04-bottom,38.552,39,547,5.6,naive_100ul_left_quinine_10mM,1day,180519,14:45,15:00,m,no,14,45,360
180524-04-top,42.854,43,544,6.3,naive_100ul_left_quinine_10mM,1day,180519,14:45,15:00,f,no,14,45,360
180524-05-bottom,36.503,37,541,5.4,naive_100ul_left_quinine_10mM,1day,180519,15:20,15:35,m,no,15,20,395
180524-05-top,42.101000000000006,42,546,6.2,naive_100ul_left_quinine_10mM,1day,180519,15:20,15:35,m,no,15,20,395
180524-06-bottom,39.195,39,531,5.9,naive_100ul_left_quinine_10mM,1day,180519,15:55,16:10,f,no,15,55,430
180524-06-top,41.246,41,557,5.9,naive_100ul_left_quinine_10mM,1day,180519,15:55,16:10,f,no,15,55,430
180529-01-bottom,47.755,48,543,7.0,naive_100ul_left_indole_10mM,no,180524,09:48,10:03,m,no,9,48,63
180529-01-top,42.512,43,565,6.0,naive_100ul_left_indole_10mM,no,180524,09:48,10:03,m,no,9,48,63
180529-02-bottom,44.365,44,549,6.5,naive_100ul_left_indole_10mM,no,180524,10:55,11:10,f,no,10,55,130
180529-02-top,44.503,45,553,6.4,naive_100ul_left_indole_10mM,no,180524,10:55,11:10,m,no,10,55,130
180529-03-bottom,40.311,40,536,6.0,naive_100ul_left_indole_10mM,no,180524,11:30,11:45,m,no,11,30,165
180529-03-top,53.151,53,553,7.7,naive_100ul_left_indole_10mM,no,180524,11:30,11:45,f,no,11,30,165
180529-04-bottom,39.579,40,540,5.9,naive_100ul_left_indole_10mM,1day,180524,13:00,13:15,f,no,13,0,255
180529-04-top,42.547,43,565,6.0,naive_100ul_left_indole_10mM,1day,180524,13:00,13:15,f,no,13,0,255
180529-05-bottom,41.967,42,550,6.1,naive_100ul_left_indole_10mM,1day,180524,13:35,13:50,m,no,13,35,290
180529-05-top,45.255,45,552,6.6,naive_100ul_left_indole_10mM,1day,180524,13:35,13:50,f,no,13,35,290
180529-06-top,41.743,42,548,6.1,naive_100ul_left_indole_10mM,1day,180524,14:33,14:48,m,no,14,33,348
180529-07-bottom,37.047,37,548,5.4,naive_100ul_left_indole_10mM,1day,180524,15:10,15:25,m,no,15,10,385
180529-08-bottom,42.217,42,539,6.3,naive_100ul_left_indole_10mM,1day,180524,15:45,16:00,m,no,15,45,420
180529-08-top,44.821999999999996,45,558,6.4,naive_100ul_left_indole_10mM,1day,180524,15:45,16:00,m,no,15,45,420
180529-09-bottom,37.805,38,543,5.6,naive_100ul_left_indole_10mM,1day,180524,16:20,16:35,m,no,16,20,455
180529-09-top,39.532,40,544,5.8,naive_100ul_left_indole_10mM,1day,180524,16:20,16:35,m,no,16,20,455
180529-10-bottom,40.900999999999996,41,544,6.0,naive_100ul_left_indole_10mM,1day,180524,16:55,17:10,f,no,16,55,490
180529-10-top,39.067,39,546,5.7,naive_100ul_left_indole_10mM,1day,180524,16:55,17:10,m,no,16,55,490
180530-01-bottom,38.965,39,543,5.7,naive_100ul_left_indole_10mM,no,180525,09:40,09:55,m,no,9,40,55
180530-02-bottom,46.114,46,535,6.9,naive_100ul_left_indole_10mM,no,180525,10:15,10:30,f,no,10,15,90
