500,1000,1500
264.5,12393.5,13502.5
5785,2680.5,6480
975,18601.5,89031.5
1289,0.5,5823.5
2294,5636.5,5503.5
3409,8847,19956.5
3090.5,4192,104863
0.5,5317,39758
1894,2467.5,29073.5
9297.5,7987.5,23629.5
7673.5,2674.5,28154
8520.5,211.5,33487
7230.5,10071,8436.5
1080.5,14486,43606
0.5,32911,19320.5
5347.5,7748,87581.5
25393,1131.5,72281.5
4923,14434.5,36587
610,8190,5871.5
16670.5,4778.5,32563.5
5532,21007.5,331
1309.5,49219,1251
2058,26179,68109.5
3285,3845.5,16292
4981.5,34232,26250
13197,42233.5,20019.5
2759.5,19089,222236.5
10081.5,18909.5,27998
730,3111.5,8354
2405.5,8735.5,5589
2444.5,13014,21277
12493.5,4946.5,50837.5
0.5,23898.5,36976.5
2665.5,29699.5,20549
1859.5,1619,9660.5
1287,367,12463.5
4341,13628.5,15074
8470.5,4477,4890.5
2464.5,23802,22925
10012,4082.5,7946.5
13218,15434.5,0.5
5654,89679,12452.5
7306,1855,11373.5
2042,10625,25580
4086.5,43205,63272.5
2140.5,5505.5,9312
6260,8813,26347
5451,3483,46999
1130,16930.5,28560
1337.5,0.5,3032.5
7201,3445,24047.5
1017.5,6535,2060.5
10351.5,12814.5,44153
14939,28167.5,11199
2403,47370.5,48706.5
0.5,8580,43858.5
3583,14897,8939.5
6225,9579,41850
1075.5,28541,44368.5
1972,17865,9074
4285.5,8489,39066.5
4274.5,894.5,40749
0.5,5553.5,28061
8079,18904,6749.5
3377.5,2327,6570
2054,658,41285.5
242,4707.5,67972.5
8214,5585,48214
2578,13761,3275
6529,2586,38861
1644.5,14008.5,3377
6270,20571.5,5108
8575,0.5,11330
14878.5,13354.5,38266
6942.5,20465,84640
0.5,21602.5,45629
2877.5,7703,74286
3353,4119,16185.5
7031,17997,74512
5730.5,33475.5,16438.5
6040,2238.5,41481.5
18271.5,22623,40149.5
3925.5,1555,9692.5
3833,6872,13133
1805.5,2589.5,67786
1095.5,16203,15278.5
5041.5,4061,12059.5
5172,2438.5,930
6020.5,6659,9719
13665,15624.5,54713
2396.5,8009,19636
22865,13870.5,8379.5
16998.5,0.5,7523
6191,14033.5,20630
10819.5,1236,10575.5
15494,3985,62731.5
8063,12475,11017.5
13289,3885.5,530
5847.5,6677.5,19818
3934,5933.5,79436.5
15114,15323.5,72257.5
4633.5,7909,6068
4634,12520,17798.5
2826.5,11351.5,34777
8893,11762.5,14109.5
1030.5,7490,53367.5
0.5,2157.5,14084
5853.5,22842,18965
5452,3491,97017
2224,39411,76756.5
1815.5,9503.5,34564.5
2677.5,8976.5,81185
1157,11380,2452
12154,5296.5,15545
1869.5,19741,71578.5
3297.5,15784.5,62031
7069,21473,6364
3108.5,15597,10262.5
10420.5,19600.5,4970.5
5559.5,48908.5,51962.5
7178.5,2987.5,32271
2610.5,27162.5,24410
14942,40663,62045
4293,26606,2162
6521,3362.5,8320
11938.5,4764.5,9506
2874.5,6096,0.5
1593.5,11590.5,98597
2233.5,14502,4139
18487,4734.5,79178
8238,10705,52048.5
2461,25053.5,14333.5
9988,33056.5,9507.5
