animal_ID,treatment_odor,larvae_length_mm,minutes_past_L,starved,sex,median_conc,median_speed,time_move,time_wall,bins_per_distance,discovery_time,cd_move,cd_speed,c_speed,cd_turn,c_turn
170605-06-bottom,naive_100ul_left_o-cresol_100uM,7.6,315,no,f,14.154916666666667,0.4198999492381936,0.7063403781979978,0.699666295884316,0.45424757973214824,60.0,-0.006688963210702341,0.00196479426770807,0.008755145072246284,-0.017025179815877478,0.04574032000192335
170605-07-bottom,naive_100ul_left_o-cresol_100uM,6.9,350,no,f,23.942500000000006,1.200578983707301,0.5492487479131887,0.6922648859209795,0.17161076258462188,83.0,0.012121212121212121,0.056622861902567934,0.07420592629563583,-0.03196061864002059,0.045516045313095777
170605-07-top,naive_100ul_left_o-cresol_100uM,5.7,350,no,m,25.46933333333333,0.6868679159078555,0.5617352614015573,0.5739710789766407,0.4009432940347921,6.0,-0.011450381679389313,-0.026069654173057732,-0.20964417822962977,-0.0762001894077366,0.06689895470383272
170605-08-bottom,naive_100ul_left_o-cresol_100uM,7.4,390,no,f,9.481541666666667,0.5868278483779894,0.8303670745272526,0.6612903225806451,0.2336834485178244,44.5,0.04552129221732746,-0.032602075698553334,0.040686352811903914,0.031789109766637846,-0.025934321096859836
170605-08-top,naive_100ul_left_o-cresol_100uM,5.9,390,no,m,29.92366666666667,0.6866301165132703,0.7404113396331296,0.566425792106726,0.2574581725539208,1.0,-0.022516556291390728,-0.009523975244304705,-0.14788726898175175,-0.03494952047966071,0.06750014239334734
170605-09-bottom,naive_100ul_left_o-cresol_100uM,5.5,425,no,m,13.63,1.1127629784307105,0.8404669260700389,0.5330739299610895,0.19533580206937712,3.0,-0.0033076074972436605,0.03773889760601423,0.10479072595053829,-2.431197121460782e-05,0.12613875931278562
170605-09-top,naive_100ul_left_o-cresol_100uM,6.5,425,no,m,15.933083333333334,0.5368813385548526,0.21869782971619364,0.7646076794657763,0.5275021916159741,1.5,-0.06878306878306878,-0.040158234321927555,-0.07234790922558054,0.04162916291629165,0.015037593984962405
170605-10-bottom,naive_100ul_left_o-cresol_100uM,7.6,465,no,f,13.624166666666666,0.49226162623350106,0.8087826570316843,0.4947192884936076,0.3018780666021293,56.5,0.03316326530612245,-0.009561032935024305,0.004220267169611824,-0.04235317111306558,0.07399446690785277
170605-10-top,naive_100ul_left_o-cresol_100uM,5.8,465,no,m,1.628375,0.5406964827410063,0.28698553948832034,0.8175750834260289,0.42406028639318566,605.0,0.0547945205479452,-0.06040980285945308,0.018013423580718335,-0.06869941652550354,-0.09999999999999998
170605-11-bottom,naive_100ul_left_o-cresol_100uM,6.6,500,no,f,14.930291666666665,0.7654890285926201,0.7703003337041157,0.5550611790878754,0.21727728599914056,91.0,-0.0037174721189591076,0.025339310432412665,-0.03992937865460766,-0.04669246360788648,0.09947871416159859
