A_treatment_odor,A_larvae_length_mm,A_minutes_past_L,A_starved,A_sex,A_median_conc,A_median_speed,A_time_move,A_time_wall,A_bins_per_distance,A_discovery_time,A_cd_move,A_cd_speed,A_c_speed,A_cd_turn,A_c_turn,E_median_conc,E_median_speed,E_time_move,E_time_wall,E_bins_per_distance,E_discovery_time,E_cd_move,E_cd_speed,E_c_speed,E_cd_turn,E_c_turn,median_conc_diff,c_speed_diff,c_turn_diff,cd_turn_diff,cd_move_diff,cd_speed_diff,discovery_time_diff,stimulus
naive_100ul_left_milliQ_water,5.9,297,no,f,12.284875,0.7738075358945777,0.5734149054505006,0.6012235817575083,0.3030464769617767,68.5,0.030195381882770867,-0.09716338668989688,0.07618584810243413,-0.06822028546166475,0.042182293149354455,10.203958333333333,1.3953464866746708,0.7169076751946607,0.4566184649610678,0.18704186757952265,19.0,0.0410958904109589,-0.08689059928677234,-0.016646941966257822,-0.039371155160628835,0.06651137160605147,-2.080916666666667,-0.09283279006869197,0.024329078456697014,0.02884913030103592,0.010900508528188036,0.010272787403124541,-49.5,Neutral
naive_100ul_left_milliQ_water,5.7,330,no,f,44.28608333333334,0.5472952058219569,0.23804226918798665,0.6924360400444939,0.3910534322348336,352.5,-0.030100334448160536,-0.0824335879076259,0.03086022114744213,0.04317062248096737,0.06913154069767448,14.73275,0.9385065613780028,0.4660734149054505,0.5634037819799778,0.2852374392892618,1.0,0.015503875968992246,-0.14674868310120792,-0.0027418235073589647,-0.0937368515958406,-0.06568646707258903,-29.553333333333335,-0.0336020446548011,-0.1348180077702635,-0.13690747407680798,0.045604210417152784,-0.06431509519358203,-351.5,Neutral
naive_100ul_left_milliQ_water,6.2,363,no,f,16.655958333333334,1.4019129960673302,0.7363737486095662,0.4744160177975528,0.16689794078960635,7.0,-0.018561484918793503,0.20686969063814686,-0.04620610662742775,-0.05812156362246024,0.14963503649635035,23.8675,1.5747183801405116,0.8526140155728588,0.6490545050055617,0.1327804879975676,7.5,-0.009193054136874362,0.023888018942513908,-0.7510440923557059,-0.12703368254100755,0.07756849315068493,7.211541666666665,-0.7048379857282782,-0.07206654334566542,-0.06891211891854733,0.009368430781919141,-0.18298167169563292,0.5,Neutral
naive_100ul_left_milliQ_water,6.0,396,no,m,3.621875,0.6547901407646094,0.2947719688542825,0.517797552836485,0.4254929636494115,1.0,-0.09941520467836257,-0.03234898391991725,-0.10034539917451024,0.08911301464492949,-0.007400257400257405,12.873666666666665,1.7979806267912812,0.7491657397107898,0.5545050055617352,0.13628682894843294,145.0,0.028697571743929364,0.012637961402107269,0.024285568259097,-0.06446547015216543,0.04653961695554526,9.251791666666666,0.12463096743360726,0.05393987435580266,-0.1535784847970949,0.12811277642229196,0.04498694532202452,144.0,Neutral
naive_100ul_left_milliQ_water,6.0,430,no,m,3.221791666666667,0.4484290301248013,0.12402669632925473,0.6373748609566184,0.6051788477495204,39.5,-0.2352941176470588,-0.060877449888388724,1.151170393273323,-0.00366300366300365,-0.6561085972850679,3.512,0.8322790268818642,0.4980544747081712,0.5314063368538077,0.29321823187706103,420.5,0.013824884792626729,0.02779142169856064,-0.1150021176461331,-0.09681393372982157,0.09550786002822798,0.2902083333333332,-1.2661725109194562,0.7516164573132958,-0.09315093006681792,0.2491190024396855,0.08866887158694936,381.0,Neutral
naive_100ul_left_milliQ_water,6.2,465,no,f,1.774625,0.5696009398820391,0.4015572858731925,0.7552836484983315,0.3593566814331225,554.0,-0.06293706293706294,-0.08157710794364914,0.01943359249883414,0.09033778476040848,0.037232342601470125,11.459499999999998,1.4341845800123565,0.7213570634037819,0.7725250278086763,0.13845119289090008,27.0,0.029255319148936167,-0.035932274891462564,-0.2660011542918299,-0.04829563555272382,0.09679025586027268,9.684874999999998,-0.28543474679066405,0.05955791325880255,-0.1386334203131323,0.09219238208599913,0.045644833052186584,-527.0,Neutral
naive_100ul_left_milliQ_water,6.2,392,no,m,40.242333333333335,0.4675449227424565,0.1423012784880489,0.8888271261812117,0.4709438663017786,39.0,0.047619047619047616,-0.06263685938867691,0.00988800706496118,-0.1333333333333333,0.07116212338593975,28.841,0.3817187592968257,0.1846496106785317,0.6117908787541713,0.8359385319965236,408.5,-0.08982035928143713,0.0052102423768543024,-0.050590070097850666,0.05827067669172936,0.07233257899589307,-11.401333333333335,-0.06047807716281185,0.0011704556099533248,0.19160401002506267,-0.13743940690048473,0.06784710176553121,369.5,Neutral
naive_100ul_left_milliQ_water,6.7,425,no,m,13.079583333333336,0.4720612446565165,0.3144129104062326,0.7401224262659989,0.4652096038986059,51.5,-0.07142857142857142,0.06785012958949044,-0.05813441859119212,-0.018589743589743583,0.15205239446020358,3.607583333333333,0.5751255286314231,0.3672787979966611,0.4485253199777407,0.4478876922880321,479.5,-0.00946372239747634,0.0213691229595091,-0.03834835797835301,-0.15820063694267514,-0.005407354001441933,-9.472000000000003,0.019786060612839114,-0.1574597484616455,-0.13961089335293156,0.06196484903109509,-0.046481006629981336,428.0,Neutral
naive_100ul_left_milliQ_water,7.3,460,no,f,14.62425,0.4465838935388724,0.4671857619577308,0.6746384872080089,0.3961380477463085,373.0,-0.05785123966942149,0.0015086056529977074,0.0302159555695668,-0.008223684210526326,0.07291666666666663,12.430125,0.7025415185260994,0.7541713014460512,0.6573971078976639,0.2068889761954988,98.0,0.0013717421124828533,-0.06806164791438629,0.4260405202965669,-0.033862712629835916,0.1087410735097794,-2.194125,0.3958245647270001,0.035824406843112784,-0.025639028419309588,0.05922298178190434,-0.06957025356738401,-275.0,Neutral
naive_100ul_left_milliQ_water,6.7,492,no,f,27.40308333333333,0.6950230018836698,0.5244716351501668,0.6373748609566184,0.3101581110420478,28.5,0.045774647887323945,-0.01106777279605353,-0.02776273827456788,0.027147241169381383,0.09435433169872998,14.887333333333334,1.315776215638786,0.7698721511951084,0.7031684269038355,0.14572116330249804,1.0,0.00801832760595647,-0.030913631328008062,-0.1971609905746723,-0.029408985933235317,-0.051652375289478636,-12.515749999999995,-0.1693982523001044,-0.1460067069882086,-0.0565562271026167,-0.037756320281367474,-0.01984585853195453,-27.5,Neutral
